Russell Westbrook,167
James Harden,149
Stephen Curry,63
Chris Paul,22
Klay Thompson,14
Damian Lillard,33
Eric Gordon,8
CJ McCollum,23
Manu Ginobili,4
Andre Iguodala,3
Zach LaVine,6
Mike Conley,17
Jordan Clarkson,1
Devin Booker,10
Patrick Beverley,1
Victor Oladipo,9
Jamal Crawford,2
Shaun Livingston,1
Tony Parker,1
D'Angelo Russell,1
J.J. Redick,4
Nick Young,2
George Hill,9
Vince Carter,1
Ian Clark,1
Eric Bledsoe,6
Patty Mills,2
Rodney Hood,10
Seth Curry,3
Tony Allen,8
Tyler Ennis,2
Patrick McCaw,1
Emmanuel Mudiay,11
Alex Abrines,1
Danny Green,0
Kyle Anderson,1
Cameron Payne,2
Jose Calderon,2
Lou Williams,0
Jrue Holiday,3
Jonathon Simmons,0
J.J. Barea,1
Leandro Barbosa,2
Ricky Rubio,0
Jamal Murray,3
Raymond Felton,1
Gary Harris,10
Will Barton,7
Dante Exum,2
Austin Rivers,0
K.J. McDaniels,0
Wesley Matthews,1
Anthony Morrow,0
Deron Williams,0
Marcelo Huertas,1
Dejounte Murray,0
Justin Anderson,1
Tyreke Evans,1
Buddy Hield,0
Malik Beasley,2
Kris Dunn,0
Tyus Jones,1
Arron Afflalo,0
Evan Turner,1
Troy Daniels,0
Semaj Christon,0
Darren Collison,1
Tim Frazier,2
Brandon Knight,0
Bryn Forbes,1
Garrett Temple,1
Allen Crabbe,0
Wade Baldwin,0
Ty Lawson,0
Mike Miller,1
Bobby Brown,0
Ben McLemore,1
Alec Burks,0
Tyler Ulis,0
Shelvin Mack,0
Quincy Pondexter,1
Raul Neto,0
John Lucas III,1
Langston Galloway,0
Devin Harris,0
Pierre Jackson,1
Brandon Rush,0
Andrew Harrison,0
Jameer Nelson,0
Shabazz Napier,0
Pat Connaughton,0
Tim Quarterman,0
Malachi Richardson,0
E'Twaun Moore,0
John Jenkins,0
Kyrie Irving,130
Isaiah Thomas,92
DeMar DeRozan,91
Dwyane Wade,33
Kyle Lowry,40
John Wall,49
Derrick Rose,14
Kemba Walker,31
Avery Bradley,8
Bradley Beal,16
Nicolas Batum,10
J.R. Smith,3
Jeremy Lin,2
Goran Dragic,6
Malcolm Brogdon,7
Matthew Dellavedova,6
Sergio Rodriguez,8
Kyle Korver,1
Dennis Schroder,3
Jeff Teague,14
Iman Shumpert,1
Courtney Lee,6
Rajon Rondo,1
T.J. McConnell,4
DeAndre Liggins,1
Bojan Bogdanovic,5
Reggie Jackson,6
Michael Carter-Williams,4
Jordan McRae,2
Brandon Jennings,0
Evan Fournier,2
Cory Joseph,0
Monta Ellis,4
Norman Powell,0
Kentavious Caldwell-Pope,3
Marcus Smart,0
Tony Snell,2
Kay Felder,0
D.J. Augustin,4
Jason Terry,3
Khris Middleton,2
Gerald Green,1
Marco Belinelli,0
Ron Baker,0
