Player,Votes
Mindaugas Kuzminskas,8.94E-08
Antonius Cleveland,4.24E-07
James Webb III,1.25E-06
Amile Jefferson,1.56E-06
Andrew White,2.32E-06
Reggie Hearn,2.41E-06
R.J. Hunter,2.97E-06
Jeff Withey,3.04E-06
Kay Felder,4.13E-06
Yakuba Ouattara,4.36E-06
Matt Williams,4.62E-06
Ben Moore,5.96E-06
Myke Henry,7.06E-06
Trey Burke,8.96E-06
Xavier Munford,9.54E-06
Edmond Sumner,9.92E-06
Charles Cooke,9.96E-06
Julyan Stone,1.01E-05
Nate Wolters,1.15E-05
C.J. Wilcox,1.18E-05
Jacob Pullen,1.22E-05
Garrett Temple,1.30E-05
Wayne Selden,1.30E-05
Malachi Richardson,1.34E-05
Vince Hunter,1.35E-05
Johnathan Motley,1.36E-05
Michael Young,1.37E-05
Jalen Jones,1.38E-05
Eric Moreland,1.41E-05
Alec Peters,1.44E-05
Milton Doyle,1.46E-05
Monte Morris,1.46E-05
Davon Reed,1.49E-05
Mike Muscala,1.51E-05
Kyle Collinsworth,1.53E-05
Brandan Wright,1.65E-05
Ben McLemore,1.66E-05
Tyrone Wallace,1.67E-05
Damien Wilkins,1.76E-05
James Young,1.77E-05
Jacob Wiley,1.77E-05
Ivan Rabb,1.78E-05
Alan Williams,1.84E-05
Gary Payton II,1.86E-05
Naz Mitrou-Long,1.89E-05
Torrey Craig,1.89E-05
Tyler Lydon,1.90E-05
Derrick Walton,1.93E-05
Adreian Payne,1.95E-05
Jameer Nelson,1.99E-05
Jarell Martin,2.05E-05
Josh McRoberts,2.05E-05
Erik McCree,2.06E-05
Rodney McGruder,2.07E-05
Mike James,2.10E-05
Jack Cooley,2.14E-05
Danuel House,2.15E-05
Cheick Diallo,2.15E-05
Andrew Harrison,2.17E-05
JaKarr Sampson,2.28E-05
Eric Griffin,2.29E-05
Ramon Sessions,2.31E-05
Shelvin Mack,2.35E-05
Quincy Pondexter,2.35E-05
Jamil Wilson,2.35E-05
Kobi Simmons,2.36E-05
Justin Patton,2.41E-05
Brice Johnson,2.44E-05
Isaiah Whitehead,2.44E-05
Johnny O'Bryant,2.48E-05
Derrick Jones Jr.,2.49E-05
Malcolm Miller,2.55E-05
Frank Jackson,2.56E-05
Terrence Ross,2.63E-05
Luis Montero,2.67E-05
Josh Magette,2.69E-05
Wesley Iwundu,2.71E-05
Willie Reed,2.72E-05
Devin Robinson,2.75E-05
Sheldon Mac,2.76E-05
Jordan Mickey,2.79E-05
Marcus Paige,2.82E-05
Okaro White,2.82E-05
Ian Clark,2.83E-05
