Player,Votes,Share,
Arinze Onuaku,216,5.67E-06,38107444
Pierre Jackson,220,5.77E-06,
C.J. Wilcox,287,7.53E-06,
John Jenkins,318,8.34E-06,
C.J. Watson,369,9.68E-06,
John Lucas III,389,1.02E-05,
Ryan Kelly,452,1.19E-05,
Brian Roberts,484,1.27E-05,
Derrick Jones Jr.,505,1.33E-05,
Andrew Nicholson,529,1.39E-05,
Quincy Acy,547,1.44E-05,
Josh McRoberts,552,1.45E-05,
E'Twaun Moore,560,1.47E-05,
Georges Niang,578,1.52E-05,
Mike Scott,587,1.54E-05,
Brandan Wright,593,1.56E-05,
Christian Wood,593,1.56E-05,
Alan Williams,607,1.59E-05,
Alonzo Gee,614,1.61E-05,
Darrun Hilliard,640,1.68E-05,
Treveon Graham,642,1.68E-05,
Danuel House,653,1.71E-05,
Daniel Ochefu,674,1.77E-05,
Quincy Pondexter,709,1.86E-05,
Malachi Richardson,716,1.88E-05,
Ramon Sessions,719,1.89E-05,
Jeff Withey,740,1.94E-05,
Skal Labissiere,759,1.99E-05,
Rodney McGruder,762,2.00E-05,
Stephen Zimmerman,767,2.01E-05,
Tim Quarterman,767,2.01E-05,
Marcus Thornton,774,2.03E-05,
Joe Young,781,2.05E-05,
A.J. Hammons,786,2.06E-05,
Spencer Dinwiddie,838,2.20E-05,
Jarell Martin,847,2.22E-05,
Kevin Seraphin,851,2.23E-05,
Sheldon Mac,855,2.24E-05,
Solomon Hill,855,2.24E-05,
Reggie Bullock,858,2.25E-05,
Adreian Payne,861,2.26E-05,
Damjan Rudez,869,2.28E-05,
Beno Udrih,875,2.30E-05,
Cheick Diallo,877,2.30E-05,
Jordan Hill,881,2.31E-05,
Michael Gbinije,887,2.33E-05,
Taurean Prince,890,2.34E-05,
Chris McCullough,911,2.39E-05,
Pat Connaughton,917,2.41E-05,
Rodney Stuckey,932,2.45E-05,
Diamond Stone,952,2.50E-05,
Shabazz Napier,975,2.56E-05,
Jameer Nelson,991,2.60E-05,
Mike Muscala,1030,2.70E-05,
Noah Vonleh,1047,2.75E-05,
Willie Reed,1062,2.79E-05,
Anthony Tolliver,1083,2.84E-05,
Fred VanVleet,1089,2.86E-05,
Maurice Ndour,1094,2.87E-05,
Troy Williams,1095,2.87E-05,
Ben McLemore,1122,2.94E-05,
Derrick Williams,1154,3.03E-05,
Andrew Harrison,1172,3.08E-05,
Jordan Mickey,1184,3.11E-05,
Mike Miller,1208,3.17E-05,
Deyonta Davis,1213,3.18E-05,
Jared Dudley,1219,3.20E-05,
Ian Mahinmi,1258,3.30E-05,
Brandon Rush,1283,3.37E-05,
Jake Layman,1283,3.37E-05,
P.J. Tucker,1284,3.37E-05,
Alex Len,1297,3.40E-05,
Jason Smith,1331,3.49E-05,
Joel Bolomboy,1333,3.50E-05,
Delon Wright,1360,3.57E-05,
Devin Harris,1379,3.62E-05,
Ish Smith,1397,3.67E-05,
Stanley Johnson,1400,3.67E-05,
Rakeem Christmas,1406,3.69E-05,
Jodie Meeks,1412,3.71E-05,
James Young,1414,3.71E-05,
Langston Galloway,1419,3.72E-05,
Dante Cunningham,1445,3.79E-05,
Josh Huestis,1452,3.81E-05,
Henry Ellenson,1463,3.84E-05,
Donatas Motiejunas,1471,3.86E-05,
Spencer Hawes,1491,3.91E-05,
DeAndre' Bembry,1521,3.99E-05,
Jon Leuer,1522,3.99E-05,
Tim Frazier,1549,4.06E-05,
Wayne Ellington,1567,4.11E-05,
Festus Ezeli,1583,4.15E-05,
Dorian Finney-Smith,1589,4.17E-05,
Terrence Jones,1625,4.26E-05,
Raul Neto,1652,4.34E-05,
Kris Humphries,1666,4.37E-05,
Glenn Robinson III,1705,4.47E-05,
Tiago Splitter,1725,4.53E-05,
Brice Johnson,1732,4.55E-05,
Darrell Arthur,1733,4.55E-05,
Nicolas Brussino,1740,4.57E-05,
Garrett Temple,1765,4.63E-05,
Tomas Satoransky,1812,4.75E-05,
Marshall Plumlee,1858,4.88E-05,
Jeff Green,1860,4.88E-05,
Bryn Forbes,1865,4.89E-05,
Justin Hamilton,1873,4.92E-05,
Shelvin Mack,1889,4.96E-05,
Malcolm Delaney,1890,4.96E-05,
Tyler Ulis,1901,4.99E-05,
Isaiah Whitehead,1910,5.01E-05,
Darren Collison,1948,5.11E-05,
Mario Hezonja,1950,5.12E-05,
C.J. Miles,1965,5.16E-05,
Alec Burks,1981,5.20E-05,
Roy Hibbert,1984,5.21E-05,
Dwight Powell,1993,5.23E-05,
Rashad Vaughn,2022,5.31E-05,
Demetrius Jackson,2046,5.37E-05,
Jerian Grant,2053,5.39E-05,
Bobby Brown,2060,5.41E-05,
Malik Beasley,2060,5.41E-05,
Shabazz Muhammad,2094,5.49E-05,
Nikola Pekovic,2109,5.53E-05,
Ty Lawson,2112,5.54E-05,
Bobby Portis,2127,5.58E-05,
Tyler Zeller,2160,5.67E-05,
James Ennis,2187,5.74E-05,
Wade Baldwin,2231,5.85E-05,
Paul Zipser,2272,5.96E-05,
T.J. Warren,2275,5.97E-05,
Evan Turner,2375,6.23E-05,
Isaiah Canaan,2385,6.26E-05,
Tyus Jones,2406,6.31E-05,
Marquese Chriss,2444,6.41E-05,
Allen Crabbe,2460,6.46E-05,
Aaron Brooks,2474,6.49E-05,
Mo Williams,2494,6.54E-05,
Jeremy Lamb,2497,6.55E-05,
Randy Foye,2529,6.64E-05,
Trey Burke,2529,6.64E-05,
Lance Thomas,2533,6.65E-05,
Gary Harris,2562,6.72E-05,
Caris LeVert,2564,6.73E-05,
Miles Plumlee,2573,6.75E-05,
Rondae Hollis-Jefferson,2582,6.78E-05,
Jusuf Nurkic,2592,6.80E-05,
Dion Waiters,2606,6.84E-05,
Dragan Bender,2609,6.85E-05,
Tyreke Evans,2621,6.88E-05,
Jared Sullinger,2679,7.03E-05,
Joe Harris,2692,7.06E-05,
Brandon Knight,2717,7.13E-05,
Josh Richardson,2743,7.20E-05,
Will Barton,2826,7.42E-05,
Luke Babbitt,2853,7.49E-05,
Marcus Morris,2888,7.58E-05,
Al Jefferson,2936,7.70E-05,
Richaun Holmes,2944,7.73E-05,
Aron Baynes,2968,7.79E-05,
Ed Davis,2980,7.82E-05,
Willie Cauley-Stein,2989,7.84E-05,
Justin Anderson,3045,7.99E-05,
Thabo Sefolosha,3059,8.03E-05,
Thaddeus Young,3076,8.07E-05,
Alan Anderson,3096,8.12E-05,
Semaj Christon,3115,8.17E-05,
Trey Lyles,3121,8.19E-05,
Udonis Haslem,3163,8.30E-05,
Brandon Bass,3175,8.33E-05,
Terry Rozier,3190,8.37E-05,
Marcelo Huertas,3205,8.41E-05,
Sasha Vujacic,3216,8.44E-05,
Jerryd Bayless,3255,8.54E-05,
James Johnson,3335,8.75E-05,
Omri Casspi,3383,8.88E-05,
Dante Exum,3411,8.95E-05,
Troy Daniels,3489,9.16E-05,
Jamal Murray,3526,9.25E-05,
Meyers Leonard,3579,9.39E-05,
Ivica Zubac,3582,9.40E-05,
Timothe Luwawu-Cabarrot,3600,9.45E-05,
Gerald Henderson,3622,9.50E-05,
Juan Hernangomez,3634,9.54E-05,
Denzel Valentine,3701,9.71E-05,
Matt Barnes,3804,9.98E-05,
Alexis Ajinca,3884,1.02E-04,
Lavoy Allen,3888,1.02E-04,
Steve Novak,3909,1.03E-04,
Kyle Singler,3973,1.04E-04,
Kelly Oubre Jr.,3995,1.05E-04,
Joe Johnson,4057,1.06E-04,
JaMychal Green,4101,1.08E-04,
Wesley Matthews,4166,1.09E-04,
Jakob Poeltl,4200,1.10E-04,
Wesley Johnson,4212,1.11E-04,
Cristiano Felicio,4225,1.11E-04,
Gorgui Dieng,4231,1.11E-04,
Marvin Williams,4243,1.11E-04,
Kyle Wiltjer,4295,1.13E-04,
Maurice Harkless,4370,1.15E-04,
Thomas Robinson,4398,1.15E-04,
Arron Afflalo,4413,1.16E-04,
Kris Dunn,4481,1.18E-04,
Wilson Chandler,4515,1.18E-04,
Elfrid Payton,4651,1.22E-04,
Jonas Jerebko,4651,1.22E-04,
Sean Kilpatrick,4736,1.24E-04,
D.J. Augustin,4831,1.27E-04,
Buddy Hield,4883,1.28E-04,
Chandler Parsons,4900,1.29E-04,
Al-Farouq Aminu,4971,1.30E-04,
Mike Dunleavy,5010,1.31E-04,
Trevor Booker,5034,1.32E-04,
Markieff Morris,5065,1.33E-04,
Tyler Johnson,5103,1.34E-04,
Boris Diaw,5125,1.34E-04,
Raymond Felton,5138,1.35E-04,
Bruno Caboclo,5185,1.36E-04,
Joffrey Lauvergne,5218,1.37E-04,
Mirza Teletovic,5351,1.40E-04,
Tarik Black,5384,1.41E-04,
Justise Winslow,5404,1.42E-04,
Frank Kaminsky,5419,1.42E-04,
Leandro Barbosa,5429,1.42E-04,
Luis Scola,5563,1.46E-04,
Justin Holiday,5642,1.48E-04,
Kent Bazemore,5684,1.49E-04,
Jrue Holiday,5757,1.51E-04,
Emmanuel Mudiay,5770,1.51E-04,
Dejounte Murray,5867,1.54E-04,
Tobias Harris,5884,1.54E-04,
Jason Terry,5970,1.57E-04,
Chinanu Onuaku,6007,1.58E-04,
Cody Zeller,6168,1.62E-04,
Tim Hardaway Jr.,6193,1.63E-04,
Nick Collison,6194,1.63E-04,
Jose Calderon,6278,1.65E-04,
Cole Aldrich,6282,1.65E-04,
Monta Ellis,6324,1.66E-04,
Khris Middleton,6347,1.67E-04,
Tyson Chandler,6408,1.68E-04,
Kentavious Caldwell-Pope,6423,1.69E-04,
Cameron Payne,6610,1.73E-04,
Nik Stauskas,6660,1.75E-04,
Mason Plumlee,6910,1.81E-04,
J.J. Barea,6923,1.82E-04,
Tony Snell,6944,1.82E-04,
Deron Williams,7159,1.88E-04,
Nikola Vucevic,7208,1.89E-04,
Gerald Green,7228,1.90E-04,
Kelly Olynyk,7439,1.95E-04,
Anthony Morrow,7455,1.96E-04,
Doug McDermott,7464,1.96E-04,
Reggie Jackson,7749,2.03E-04,
Bismack Biyombo,7804,2.05E-04,
Amir Johnson,7916,2.08E-04,
Robert Covington,8068,2.12E-04,
K.J. McDaniels,8164,2.14E-04,
Luc Mbah a Moute,8177,2.15E-04,
Pascal Siakam,8339,2.19E-04,
Luol Deng,8701,2.28E-04,
Robin Lopez,8763,2.30E-04,
Evan Fournier,8882,2.33E-04,
John Henson,8932,2.34E-04,
Michael Kidd-Gilchrist,8987,2.36E-04,
Marreese Speights,9042,2.37E-04,
Michael Carter-Williams,9053,2.38E-04,
Kenneth Faried,9132,2.40E-04,
Metta World Peace,9277,2.43E-04,
Kyle O'Quinn,9570,2.51E-04,
Salah Mejri,9658,2.53E-04,
Bojan Bogdanovic,9757,2.56E-04,
Jordan McRae,9791,2.57E-04,
Omer Asik,9917,2.60E-04,
Austin Rivers,10045,2.64E-04,
Nemanja Bjelica,10077,2.64E-04,
Ron Baker,10502,2.76E-04,
T.J. McConnell,10586,2.78E-04,
Jahlil Okafor,10621,2.79E-04,
Otto Porter,10661,2.80E-04,
Willy Hernangomez,10672,2.80E-04,
Derrick Favors,10700,2.81E-04,
Kyle Anderson,10754,2.82E-04,
Joe Ingles,10799,2.83E-04,
Nikola Mirotic,10803,2.83E-04,
James Michael McAdoo,10852,2.85E-04,
Marco Belinelli,10875,2.85E-04,
Tyler Ennis,10953,2.87E-04,
Dario Saric,11068,2.90E-04,
Thon Maker,11233,2.95E-04,
Andrew Bogut,11400,2.99E-04,
Jeff Teague,11422,3.00E-04,
