Player,Votes,Share
Mindaugas Kuzminskas,4,8.93603E-08
Antonius Cleveland,19,4.24461E-07
James Webb III,56,1.25104E-06
Amile Jefferson,70,1.5638E-06
Andrew White,104,2.32337E-06
Reggie Hearn,108,2.41273E-06
R.J. Hunter,133,2.97123E-06
Jeff Withey,136,3.03825E-06
Kay Felder,185,4.13291E-06
Yakuba Ouattara,195,4.35631E-06
Matt Williams,207,4.62439E-06
Ben Moore,267,5.9648E-06
Myke Henry,316,7.05946E-06
Trey Burke,401,8.95837E-06
Xavier Munford,427,9.53921E-06
Edmond Sumner,444,9.91899E-06
Charles Cooke,446,9.96367E-06
Julyan Stone,453,1.012E-05
Nate Wolters,514,1.14828E-05
C.J. Wilcox,529,1.18179E-05
Jacob Pullen,548,1.22424E-05
Garrett Temple,580,1.29572E-05
Wayne Selden,581,1.29796E-05
Malachi Richardson,601,1.34264E-05
Vince Hunter,604,1.34934E-05
Johnathan Motley,608,1.35828E-05
Michael Young,612,1.36721E-05
Jalen Jones,617,1.37838E-05
Eric Moreland,630,1.40742E-05
Alec Peters,646,1.44317E-05
Milton Doyle,652,1.45657E-05
Monte Morris,653,1.45881E-05
Davon Reed,669,1.49455E-05
Mike Muscala,677,1.51242E-05
Kyle Collinsworth,685,1.53029E-05
Brandan Wright,739,1.65093E-05
Ben McLemore,744,1.6621E-05
Tyrone Wallace,749,1.67327E-05
Damien Wilkins,790,1.76486E-05
James Young,791,1.7671E-05
Jacob Wiley,794,1.7738E-05
Ivan Rabb,796,1.77827E-05
Alan Williams,823,1.83859E-05
Gary Payton II,834,1.86316E-05
Naz Mitrou-Long,846,1.88997E-05
Torrey Craig,848,1.89444E-05
Tyler Lydon,850,1.89891E-05
Derrick Walton,862,1.92571E-05
Adreian Payne,873,1.95029E-05
Jameer Nelson,893,1.99497E-05
Jarell Martin,917,2.04858E-05
Josh McRoberts,918,2.05082E-05
Erik McCree,923,2.06199E-05
Rodney McGruder,926,2.06869E-05
Mike James,942,2.10443E-05
Jack Cooley,956,2.13571E-05
Danuel House,962,2.14911E-05
Cheick Diallo,963,2.15135E-05
Andrew Harrison,972,2.17145E-05
JaKarr Sampson,1020,2.27869E-05
