Player,Votes
Eric Moreland,538
Andrew Harrison,834
Kenrich Williams,938
Jarnell Stokes,1049
Davon Reed,1122
MarShon Brooks,1296
Zach Lofton,1360
Jarell Martin,1401
Trevon Bluiett,1492
Troy Caupain,1589
Solomon Hill,1607
Ivan Rabb,1628
Melvin Frazier,1663
Shelvin Mack,1666
Joe Chealey,1668
Edmond Sumner,1671
Sindarius Thornwell,1741
Jerome Robinson,1828
Johnathan Motley,1832
Wesley Johnson,1919
Ian Clark,1936
Jordan McRae,1971
Wayne Selden,1987
Darius Miller,2012
Brandon Sampson,2049
Keenan Evans,2050
Yante Maten,2085
Tim Frazier,2119
Tyler Cavanaugh,2126
Chasson Randle,2137
Gary Trent Jr.,2201
Jared Terrell,2262
Demetrius Jackson,2295
Quincy Pondexter,2367
Skal Labissiere,2471
Theo Pinson,2525
Amile Jefferson,2531
Devin Robinson,2538
Tony Bradley,2552
Ben Moore,2606
Troy Williams,2647
Isaiah Hicks,2667
Chimezie Metu,2695
Tyrone Wallace,2704
Wesley Iwundu,2704
Tyler Lydon,2707
Wenyen Gabriel,2750
Cheick Diallo,2757
Jerian Grant,2786
Jarred Vanderbilt,2815
Khyri Thomas,2890
Ian Mahinmi,2937
Georges Niang,2942
Lance Thomas,2950
George King,2964
John Henson,3018
Chandler Parsons,3030
C.J. Williams,3039
Garrett Temple,3043
Patrick McCaw,3073
Anfernee Simons,3083
Luc Mbah a Moute,3125
Frank Jackson,3155
Khem Birch,3196
Jalen Jones,3228
Naz Mitrou-Long,3234
Daniel Hamilton,3246
Miles Plumlee,3247
Glenn Robinson III,3257
Alize Johnson,3333
Isaiah Briscoe,3362
David Nwaba,3385
Jon Leuer,3391
Ben McLemore,3396
J.P. Macura,3399
JaMychal Green,3409
Lorenzo Brown,3409
Justin Patton,3417
Thomas Welsh,3439
Omari Spellman,3479
James Nunnally,3537
E'Twaun Moore,3551
Alex Poythress,3583
Shaquille Harrison,3760
Courtney Lee,3768
Mike Scott,3820
Drew Eubanks,3853
Troy Daniels,3883
Cameron Payne,3886
Jawun Evans,3948
Frank Mason III,3960
Jaron Blossomgame,3962
Zhaire Smith,3985
Luke Kornet,3995
Caleb Swanigan,4009
Treveon Graham,4093
Troy Brown Jr.,4101
Kyle O'Quinn,4144
Shake Milton,4154
Angel Delgado,4204
Bruce Brown,4242
Jahlil Okafor,4247
Walt Lemon Jr.,4253
Brandon Goodwin,4344
Jaylen Morris,4350
Damyean Dotson,4393
Donte Grantham,4492
Ray Spalding,4518
Dillon Brooks,4521
Ish Smith,4631
T.J. Leaf,4656
Elfrid Payton,4757
Malachi Richardson,4758
De'Anthony Melton,4791
Jordan Loyd,4821
Langston Galloway,4837
Daryl Macon,4851
Duncan Robinson,4918
Antonio Blakeney,5002
Denzel Valentine,5099
Chandler Hutchison,5111
Keita Bates-Diop,5116
Elie Okobo,5127
Justin Holiday,5169
Trevon Duval,5276
Alec Burks,5516
Richaun Holmes,5639
Ryan Anderson,5711
Timofey Mozgov,5796
Henry Ellenson,5823
Jason Smith,5864
Shabazz Napier,5910
Mitchell Robinson,6126
Jevon Carter,6154
Zach Randolph,6231
Thabo Sefolosha,6236
Luke Kennard,6320
Salah Mejri,6322
Wade Baldwin,6351
Isaiah Hartenstein,6370
Stanley Johnson,6375
Christian Wood,6396
Yogi Ferrell,6423
Markieff Morris,6491
Ekpe Udoh,6518
Taurean Prince,6542
Dragan Bender,6570
Devonte' Graham,6668
DeAndre' Bembry,6732
Anthony Tolliver,6788
Sam Dekker,6795
Jerryd Bayless,6811
Marquese Chriss,6829
Jonathan Isaac,6855
Ron Baker,6878
Allen Crabbe,6896
Vince Edwards,7007
Justin Anderson,7086
Raul Neto,7088
Amir Johnson,7189
Noah Vonleh,7190
Rodney McGruder,7230
Dante Cunningham,7472
Dwayne Bacon,7549
Nik Stauskas,7574
Wayne Ellington,7655
Trey Burke,7678
Jonathon Simmons,7686
Kevin Huerter,7932
Michael Carter-Williams,8045
Rodney Hood,8046
Bismack Biyombo,8128
Royce O'Neale,8163
Bobby Portis,8209
Reggie Bullock,8446
Yuta Watanabe,8456
Avery Bradley,8460
PJ Dozier,8545
Ryan Broekhoff,8809
Ike Anigbogu,8882
Alex Len,9006
Brad Wanamaker,9033
Luol Deng,9035
Evan Turner,9218
Justin Jackson,9271
Mike Muscala,9292
Dewayne Dedmon,9483
Timothe Luwawu-Cabarrot,9522
Alex Caruso,9563
Harry Giles,9678
Otto Porter,9713
Jake Layman,9714
Jared Dudley,9760
Aaron Holiday,9819
