Kyrie Irving,3881766
Kemba Walker,1395330
Ben Simmons,1184221
Dwyane Wade,2208598
Victor Oladipo,948260
Kyle Lowry,931460
Bradley Beal,346027
Zach LaVine,519746
Eric Bledsoe,164441
Jaylen Brown,213401
Malcolm Brogdon,142966
Spencer Dinwiddie,115054
John Wall,169032
Marcus Smart,122200
Trae Young,106790
Tony Parker,77056
Jordan Clarkson,191853
Terry Rozier,79584
Josh Richardson,61287
Collin Sexton,36471
Darren Collison,22529
Fred VanVleet,101147
Kris Dunn,23389
Evan Fournier,21611
Markelle Fultz,29992
Jeremy Lamb,16378
Caris LeVert,23085
Cory Joseph,14252
George Hill,21901
Reggie Jackson,12680
Tyreke Evans,14114
Jaylen Adams,13927
Malik Monk,13650
Emmanuel Mudiay,12959
Tony Snell,16215
Ryan Arcidiacono,10235
Kent Bazemore,11777
Reggie Bullock,8446
PJ Dozier,8545
Aaron Holiday,9819
Ron Baker,6878
Rodney Hood,8046
Justin Anderson,7086
Antonio Blakeney,5002
Goran Dragic,482214
Jeremy Lin,449166
Alec Burks,5516
Danny Green,220816
Langston Galloway,4837
Bruce Brown,4242
Cameron Payne,3886
Furkan Korkmaz,61306
Jerian Grant,2786
Delon Wright,35189
Matthew Dellavedova,28387
Daniel Hamilton,3246
Patrick McCaw,3073
Troy Caupain,1589
Jose Calderon,21473
Donte DiVincenzo,20293
Landry Shamet,19255
Pat Connaughton,16580
Jordan McRae,1971
Sterling Brown,14534
Dion Waiters,14335
Allonzo Trier,14138
Dzanan Musa,12560
Frank Ntilikina,11791
Tyler Johnson,11649
Tyler Dorsey,11511
Terrence Ross,11462
Tomas Satoransky,10643
Rawle Alkins,10178
Brad Wanamaker,9033
Kevin Huerter,7932
Trey Burke,7678
Wayne Ellington,7655
Dwayne Bacon,7549
Allen Crabbe,6896
Luke Kennard,6320
Shabazz Napier,5910
Trevon Duval,5276
Denzel Valentine,5099
Jordan Loyd,4821
Malachi Richardson,4758
Ish Smith,4631
Damyean Dotson,4393
Jaylen Morris,4350
Shake Milton,4154
Zhaire Smith,3985
Courtney Lee,3768
Shaquille Harrison,3760
Lorenzo Brown,3409
David Nwaba,3385
Isaiah Briscoe,3362
Khyri Thomas,2890
Theo Pinson,2525
Demetrius Jackson,2295
Chasson Randle,2137
Keenan Evans,2050
Brandon Sampson,2049
Edmond Sumner,1671
Joe Chealey,1668
Melvin Frazier,1663
Zach Lofton,1360
Davon Reed,1122
Stephen Curry,3861038
James Harden,2905488
Russell Westbrook,2512374
Damian Lillard,1043785
Klay Thompson,1578140
Derrick Rose,3376277
DeMar DeRozan,1039658
Devin Booker,475535
Lonzo Ball,961488
Chris Paul,520453
Jamal Murray,260655
Donovan Mitchell,417390
Bogdan Bogdanovic,243440
CJ McCollum,205182
Dennis Schroder,239671
Mike Conley,141683
Jrue Holiday,93873
Buddy Hield,141994
Lou Williams,83791
Rajon Rondo,220466
Josh Hart,209425
Marco Belinelli,104675
Eric Gordon,165649
Ricky Rubio,78842
Quinn Cook,69321
Terrance Ferguson,72501
Alex Abrines,73043
