,username
0,autofull_official
1,davidgoggins
2,antasportsofficial
3,johnrisner
4,obj
5,sidtechnology
6,drewhanlen
7,jockowillink
8,kyrieirving
9,sportscenter
10,foxnews
11,k1ngkyrg1os
12,aleclam14
13,willsmith
14,bleacherreport
15,mehmetokur.13
16,daquan
17,jjwatt
18,barstoolsports
19,treynkennedy
20,jpgibsonjr
21,realmaxvanvliet
22,alhorford
23,isaiahthomas
24,celtics
25,hyperx
26,lexiemcummings
27,kimo_jdc
28,nba
29,kingjames
30,definingsports
31,grant_leiendecker
32,emerson_kampen
33,therock
34,sammidog4
35,jpmavunga
36,stevenash
37,piercesmith
38,dbirrell05
39,austinbrownv2
40,crob_123
41,olivia_rob
42,smeathers5
43,claire_schapker
44,wellered88
45,fbach87
46,jaycee_marie
47,prioritysports
48,halldog34
49,tannersmith5
50,hops2010
51,jaldridge46
52,shelvin.mack
53,jdcosby
54,jashinmizuho
55,dwm11
56,swd_317
57,robynmhayward
58,backcomesmack
59,zachery_harrison
60,borisgolubov
61,ronaldnored5
62,aanglin11
63,kobebryant
64,jaronstrem
65,pics_earth
66,butchgm32
67,jantheman23
68,asmeathers
69,timjimmie
70,ginocalderon
71,cstigall33
72,mavunga32
73,averyjukes
