,username
0,stickity13
1,teamslowmo
2,djstephens30
3,wayneseldenjr
4,nextlevel_03
5,gtemp17
6,drewroc5
7,marcgasol
8,fab9osteopro
9,yuvalsoiref
10,darrencollison_
11,dr_kravtchik
12,asaf198333
13,eyalamit
14,ben_mantzur
15,hadasmoz
16,alfiguri
17,lukeloucks
18,meyerorbach
19,andre
20,swaggyp1
21,qcook323
22,eranzahavi
23,tomerhemed
24,easymoneysniper
25,adamsilvernba
26,amitsimhon
27,ozblayzer
28,idan_zalmanson
29,shawnd8
30,pmccaw0
31,sdot1414
32,money23green
33,klaythompson
34,zazapachulia
35,eyalgolan1
36,fiba
37,jtthekid
38,patbev21
39,levan_ben_levi
40,tal_lavon
41,lennysporn
42,guyoseary
43,edelman11
44,donatas_motiejunas
45,_shamula
46,yardenruderman
47,omricasspi_fans
48,adamcberkowitz
49,matteozuretti
50,naturee
51,kyrieirving
52,joseph_gross_gallery
53,edaschott
54,thenbpa
55,matrix31
56,ryanpannone
57,ronmansi
58,amsalemtomer
59,yanainstagram
60,western_wall_news
61,israeli_navy
62,ronivesely
63,humansofjudaism
64,omricasspi18_fan_page
65,drizzydrake22
66,ericmoreland25
67,teamjuif
68,ilana_caspi
69,quincyacy
70,stephencurry30
71,kostakoufos
72,dr.ramsey.nijem
73,matanamt
74,byttonor
75,bar.amir_1
76,sapir_vesely
77,forbes
78,michalcasspi
79,matianfirm
80,lior_lubin
81,bleacherreport
82,bar_timor10
83,ravivlimonad
84,lioreliyahu8
85,dbschottenstein
86,caronbutler
87,ibba_israel
88,thegoodlifeinc
89,galfrimer
90,fuckjerry.tv
91,infectedmushroom
92,matan.siman.tov
93,real_nbamemes
94,sasa_bratic
95,houseofhighlights
96,meidansiboni
97,jrdup21
98,yuvalsella
99,maxim_ohana
100,b_mclemore23
101,shir_hassin
102,idf_israel
103,tutimmm
104,elitzur_yavne
105,talruderman
106,rudygay
107,dwxxiii
108,dafniruderman
109,hilaruderman
110,shani_casspi
111,boogiecousins
112,yossi34
113,tallevitus
114,kobiaflalo
115,sultanshaul
116,matthewchevallard
117,danny_federman
118,maccabitlv
119,benoudrih19
120,jd1800
121,happy_walters
122,chandlerparsons
123,dannya27
124,tamirgoodman
125,jlin7
126,marciano555
127,amitdavidov
128,dwighthoward
129,galmekel
130,gazebbo_beachclub
131,nba
132,nirguetta
133,israelatiass
134,matan.adelson
135,yehuorland
136,elishaykadir
137,idfonline
138,buzaglomaor_11_official
139,liavmor
140,ilanfrank0929
141,dorpaldi
142,kristinfrankk
143,regevfanan
144,barakitzhaki
145,sportsmediaworld
146,melikson24
147,adamhayoun
148,avivcasspi9
149,lironf
