,username
0,shelby_danae
1,irv_roland
2,kobebryant
3,nba
4,easymoneysniper
5,stephencurry30
6,jharden13
7,kuz
8,rod_strickland1
9,buddylove242
10,lukadoncic
11,shadmoss
12,damianlillard
13,dwyanewade
14,7x.media
15,stevenash
16,floydmayweather
17,troubleman31
18,mpj
19,derrick_staten
20,theofficialai3
21,money23green
22,timothy_jordan_young
23,lecrae
24,quavohuncho
25,champagnepapi
26,blakegriffin23
27,melo
28,spidadmitchell
29,dbook
30,bakermayfield
31,cdawny
32,cam_i_have_yo_number
33,caitlynyoung_
34,cp3
35,russwest44
36,isaiahthomas
37,jaytatum0
38,swipathefox
