Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Alex Abrines\abrinal01,SG,25,OKC,31,588,6.3,.507,.809,.083,0.9,7.7,4.2,4.3,1.3,0.9,7.9,12.2,,0.1,0.6,0.7,.054,,-2.5,-0.9,-3.3,-0.2
2,Quincy Acy\acyqu01,PF,28,PHO,10,123,2.9,.379,.833,.556,2.7,20.3,11.3,8.2,0.4,2.7,15.2,9.2,,-0.1,0.1,0.0,-0.018,,-5.7,-0.2,-5.8,-0.1
3,Jaylen Adams\adamsja01,PG,22,ATL,24,268,8.4,.512,.754,.043,3.1,11.3,7.1,20.8,1.0,0.6,18.5,13.1,,0.1,0.1,0.2,.034,,-2.0,-2.4,-4.4,-0.2
4,Steven Adams\adamsst01,C,25,OKC,70,2363,18.5,.599,.001,.374,14.3,15.0,14.6,6.7,2.1,2.1,13.2,16.4,,4.5,3.6,8.1,.165,,0.6,2.1,2.8,2.8
5,Bam Adebayo\adebaba01,C,21,MIA,71,1611,17.5,.627,.026,.514,9.4,23.1,16.3,14.2,1.8,3.1,18.0,15.5,,2.9,2.7,5.7,.169,,-0.5,3.5,3.0,2.0
6,Deng Adel\adelde01,SF,21,CLE,15,181,1.4,.369,.636,.061,1.2,9.5,5.2,2.9,0.3,1.9,12.9,9.4,,-0.3,0.0,-0.3,-0.072,,-6.0,-1.6,-7.6,-0.3
7,DeVaughn Akoon-Purcell\akoonde01,SG,25,DEN,7,22,8.3,.322,.400,.200,4.9,14.9,9.9,36.7,4.5,0.0,15.5,24.9,,-0.1,0.0,0.0,-0.046,,-4.3,0.7,-3.6,0.0
8,LaMarcus Aldridge\aldrila01,C,33,SAS,71,2345,22.5,.576,.030,.318,9.9,19.7,14.9,11.7,0.8,3.2,9.3,27.0,,5.4,2.4,7.8,.159,,1.1,0.3,1.3,2.0
9,Rawle Alkins\alkinra01,SG,21,CHI,3,6,37.9,.375,.250,.000,54.6,0.0,27.4,51.0,8.1,0.0,0.0,29.2,,0.0,0.0,0.0,.353,,20.0,7.2,27.2,0.0
10,Grayson Allen\allengr01,SG,23,UTA,32,300,4.6,.468,.632,.342,0.4,3.6,2.0,8.5,0.6,0.8,11.8,21.7,,-0.4,0.3,-0.1,-0.023,,-4.4,-3.5,-7.9,-0.5
11,Jarrett Allen\allenja01,C,20,BRK,71,1887,19.0,.634,.083,.477,9.8,23.5,16.7,8.0,1.1,4.6,12.5,15.9,,4.2,2.9,7.1,.180,,-0.4,3.2,2.9,2.3
