Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Alex Abrines\abrinal01,SG,25,OKC,31,2,588,56,157,.357,41,127,.323,15,30,.500,.487,12,13,.923,5,43,48,20,17,6,14,53,165
2,Quincy Acy\acyqu01,PF,28,PHO,10,0,123,4,18,.222,2,15,.133,2,3,.667,.278,7,10,.700,3,22,25,8,1,4,4,24,17
3,Jaylen Adams\adamsja01,PG,22,ATL,24,0,268,25,69,.362,20,52,.385,5,17,.294,.507,2,3,.667,8,28,36,42,6,2,16,27,72
4,Steven Adams\adamsst01,C,25,OKC,70,70,2363,426,709,.601,0,1,.000,426,708,.602,.601,137,265,.517,336,336,672,111,107,58,126,183,989
5,Bam Adebayo\adebaba01,C,21,MIA,71,18,1611,225,389,.578,1,10,.100,224,379,.591,.580,147,200,.735,141,347,488,156,58,55,105,182,598
6,Deng Adel\adelde01,SF,21,CLE,15,3,181,9,33,.273,5,21,.238,4,12,.333,.348,2,2,1.000,2,15,17,4,1,4,5,12,25
7,DeVaughn Akoon-Purcell\akoonde01,SG,25,DEN,7,0,22,3,10,.300,0,4,.000,3,6,.500,.300,1,2,.500,1,3,4,6,2,0,2,4,7
8,LaMarcus Aldridge\aldrila01,C,33,SAS,71,71,2345,590,1143,.516,9,34,.265,581,1109,.524,.520,311,364,.854,211,428,639,170,38,90,134,157,1500
9,Rawle Alkins\alkinra01,SG,21,CHI,3,0,6,1,4,.250,1,1,1.000,0,3,.000,.375,0,0,,3,0,3,2,1,0,0,1,3
10,Grayson Allen\allengr01,SG,23,UTA,32,1,300,38,117,.325,22,74,.297,16,43,.372,.419,28,40,.700,1,10,11,18,4,3,18,35,126
11,Jarrett Allen\allenja01,C,20,BRK,71,71,1887,304,516,.589,6,43,.140,298,473,.630,.595,177,246,.720,174,422,596,100,42,111,89,168,791
12,Kadeem Allen\allenka01,SG,26,NYK,13,1,296,46,96,.479,11,22,.500,35,74,.473,.536,21,28,.750,6,28,34,50,12,1,18,32,124
13,Al-Farouq Aminu\aminual01,PF,28,POR,71,71,2032,220,503,.437,88,246,.358,132,257,.514,.525,124,145,.855,99,430,529,92,62,29,64,133,652
14,Justin Anderson\anderju01,SF,25,ATL,38,0,284,36,96,.375,8,45,.178,28,51,.549,.417,16,21,.762,12,35,47,13,13,8,15,34,96
15,Kyle Anderson\anderky01,SF,25,MEM,43,40,1281,150,276,.543,9,34,.265,141,242,.583,.560,37,64,.578,48,203,251,128,54,37,58,112,346
16,Ryan Anderson\anderry01,PF,30,TOT,21,8,304,21,66,.318,9,38,.237,12,28,.429,.386,12,16,.750,16,32,48,18,3,1,14,25,63
16,Ryan Anderson\anderry01,PF,30,PHO,15,8,278,19,60,.317,7,34,.206,12,26,.462,.375,11,14,.786,14,31,45,17,3,1,12,23,56
16,Ryan Anderson\anderry01,PF,30,MIA,6,0,26,2,6,.333,2,4,.500,0,2,.000,.500,1,2,.500,2,1,3,1,0,0,2,2,7
17,Ike Anigbogu\anigbik01,C,20,IND,3,0,6,0,3,.000,0,0,,0,3,.000,.000,0,0,,1,2,3,1,0,1,1,0,0
18,Giannis Antetokounmpo\antetgi01,PF,24,MIL,65,65,2144,649,1119,.580,43,173,.249,606,946,.641,.599,444,611,.727,147,677,824,390,87,93,250,214,1785
19,Kostas Antetokounmpo\antetko01,PF,21,DAL,1,0,6,0,2,.000,0,0,,0,2,.000,.000,1,2,.500,0,1,1,0,2,0,1,0,1
20,Carmelo Anthony\anthoca01,PF,34,HOU,10,2,294,49,121,.405,21,64,.328,28,57,.491,.492,15,22,.682,9,45,54,5,4,7,8,32,134
21,OG Anunoby\anunoog01,SF,21,TOR,61,6,1245,173,379,.456,65,190,.342,108,189,.571,.542,30,56,.536,54,132,186,41,42,19,48,130,441
22,Ryan Arcidiacono\arcidry01,PG,24,CHI,72,28,1758,153,340,.450,72,193,.373,81,147,.551,.556,69,81,.852,20,165,185,242,59,4,58,151,447
23,Trevor Ariza\arizatr01,SF,33,TOT,68,68,2342,292,732,.399,144,431,.334,148,301,.492,.497,129,163,.791,50,321,371,252,91,21,106,130,857
23,Trevor Ariza\arizatr01,SF,33,PHO,26,26,884,86,227,.379,50,139,.360,36,88,.409,.489,36,43,.837,16,129,145,87,38,8,39,44,258
23,Trevor Ariza\arizatr01,SF,33,WAS,42,42,1458,206,505,.408,94,292,.322,112,213,.526,.501,93,120,.775,34,192,226,165,53,13,67,86,599
24,D.J. Augustin\augusdj01,PG,31,ORL,71,71,1966,273,576,.474,117,270,.433,156,306,.510,.576,160,185,.865,35,128,163,358,46,3,106,99,823
25,Deandre Ayton\aytonde01,C,20,PHO,66,65,2043,474,811,.584,0,4,.000,474,807,.587,.584,132,174,.759,208,472,680,122,58,61,112,193,1080
26,Dwayne Bacon\bacondw01,SG,23,CHO,31,1,419,63,131,.481,17,38,.447,46,93,.495,.546,22,29,.759,4,50,54,25,5,2,13,45,165
27,Marvin Bagley\baglema01,PF,19,SAC,51,2,1255,280,536,.522,19,69,.275,261,467,.559,.540,151,213,.709,125,239,364,52,28,48,80,100,730
28,Ron Baker\bakerro01,SG,25,TOT,15,0,152,4,20,.200,1,13,.077,3,7,.429,.225,5,6,.833,1,10,11,15,6,1,5,18,14
28,Ron Baker\bakerro01,SG,25,NYK,11,0,107,4,16,.250,1,9,.111,3,7,.429,.281,5,6,.833,1,6,7,13,5,0,3,16,14
28,Ron Baker\bakerro01,SG,25,WAS,4,0,45,0,4,.000,0,4,.000,0,0,,.000,0,0,,0,4,4,2,1,1,2,2,0
29,Wade Baldwin\baldwwa01,PG,22,POR,16,0,94,10,33,.303,2,9,.222,8,24,.333,.333,8,11,.727,2,13,15,12,1,2,14,11,30
30,Lonzo Ball\balllo01,PG,21,LAL,47,45,1423,185,456,.406,75,228,.329,110,228,.482,.488,20,48,.417,54,197,251,255,69,19,103,114,465
31,Mohamed Bamba\bambamo01,C,20,ORL,47,1,766,117,243,.481,21,70,.300,96,173,.555,.525,37,63,.587,64,169,233,39,13,64,43,102,292
32,J.J. Barea\bareajo01,PG,34,DAL,38,0,752,161,385,.418,38,128,.297,123,257,.479,.468,55,78,.705,13,82,95,211,22,1,72,50,415
33,Harrison Barnes\barneha02,PF-SF,26,TOT,65,65,2153,373,897,.416,151,390,.387,222,507,.438,.500,201,242,.831,50,261,311,95,48,12,85,105,1098
33,Harrison Barnes\barneha02,PF,26,DAL,49,49,1584,290,717,.404,121,311,.389,169,406,.416,.489,165,198,.833,36,171,207,62,33,11,68,79,866
33,Harrison Barnes\barneha02,SF,26,SAC,16,16,569,83,180,.461,30,79,.380,53,101,.525,.544,36,44,.818,14,90,104,33,15,1,17,26,232
